Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
2,-2.1660716637250577,-1.4866830633020363,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-2.1217053553371974,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250546,-1.805507770424468,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725054,-1.9278895903981332,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-2.1639367296109504,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.9657410745292774,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.161570585795582,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.693635974004092,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-2.0483776014843302,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-1.868061886278681,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9208138139239757,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-1.8693530028214427,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.686559451642797,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-1.947087433233218,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.6493414592717515,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.7077037230200052,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250528,-1.8353170775876413,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6441985763476168,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.9926030707997482,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6278198397168535,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.108646915688952,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.647479988179193,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.9297223742633713,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6176249314738134,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725056,-1.9898199689271545,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.8267453027900642,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.967567324906639,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.7624757172298717,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
